MAKE_ID,MAKE_NAME
475,ACURA
493,ALFA ROMEO
440,ASTON MARTIN
582,AUDI
583,BENTLEY
452,BMW
454,BUGATTI
468,BUICK
469,CADILLAC
467,CHEVROLET
477,CHRYSLER
476,DODGE
603,FERRARI
492,FIAT
1033,FISKER
460,FORD
5083,GENESIS
472,GMC
474,HONDA
951,HUMMER
498,HYUNDAI
480,INFINITI
542,ISUZU
442,JAGUAR
483,JEEP
499,KIA
502,LAMBORGHINI
497,LANCIA
444,LAND ROVER
515,LEXUS
464,LINCOLN
466,LOTUS
10919,LUCID
443,MASERATI
473,MAZDA
2236,MCLAREN
449,MERCEDES-BENZ
456,MINI
465,MERCURY
481,MITSUBISHI
478,NISSAN
4162,OLDSMOBILE
471,OPEL
2409,PLYMOUTH
10224,POLESTAR
536,PONTIAC
584,PORSCHE
496,RAM
10887,RIVIAN
445,ROLLS ROYCE
572,SAAB
1056,SATURN
504,SMART
523,SUBARU
509,SUZUKI
441,TESLA
448,TOYOTA
482,VOLKSWAGEN
485,VOLVO
845,APRILIA
568,DUCATI
10774,HARLEY
3888,HARLEY DAVIDSON
1768,INDIAN MOTORCYCLE
510,KAWASAKI
596,KTM
601,KTMMEX
3128,ROYAL ENFIELD
565,TRIUMPH
564,YAMAHA
